Global_Session_ID,Transaction_Str
U0000_1,"Dorms,Cafeteria,Student_Center,Gym,Dorms,Cafeteria,CS_Building,Library"
U0000_10,"Dorms,CS_Building,Library,Cafeteria"
U0000_11,"Dorms,CS_Building,Student_Center,Dorms,Math_Building,Library,Dorms,Math_Building"
U0000_12,"Dorms,Math_Building,Cafeteria,Math_Building,Library,Dorms"
U0000_2,"Dorms,CS_Building,Cafeteria"
U0000_3,"Dorms,Library,Gym,Dorms,Cafeteria"
U0000_4,"Dorms,Math_Building,Student_Center,Gym"
U0000_5,"Dorms,Cafeteria,CS_Building,Library"
U0000_6,"Dorms,Cafeteria,Library,Dorms,Cafeteria,Math_Building,Dorms"
U0000_7,"Dorms,Math_Building,Library,Student_Center,Dorms,CS_Building,Cafeteria"
U0000_8,"Dorms,Cafeteria,CS_Building,Student_Center,Dorms,CS_Building,Library,Dorms,Cafeteria,CS_Building"
U0000_9,"Cafeteria,Library,Dorms,Cafeteria,CS_Building,Cafeteria,Math_Building,Library"
U0001_1,"Dorms,Cafeteria,Student_Center"
U0001_10,"Math_Building,Student_Center,Dorms,Cafeteria,Math_Building,Library,Dorms"
U0001_11,"Gym,Dorms,Math_Building,Student_Center,Dorms,CS_Building,Cafeteria,CS_Building"
U0001_12,"Dorms,Cafeteria,CS_Building,Student_Center"
U0001_13,"Dorms,CS_Building,Cafeteria,Student_Center"
U0001_14,"Library,Dorms,Math_Building,Library,Dorms,Cafeteria"
U0001_2,"Dorms,Math_Building,Cafeteria"
U0001_3,"Dorms,CS_Building,Student_Center,Library,Cafeteria,Library"
U0001_4,"Cafeteria,CS_Building,Student_Center,Dorms,Library"
U0001_5,"Library,Student_Center,Dorms,Cafeteria,Student_Center"
U0001_6,"Dorms,Library,Student_Center,Gym,Dorms,Cafeteria,Library,Dorms"
U0001_7,"Dorms,CS_Building,Library,Cafeteria,Student_Center,Dorms,CS_Building,Cafeteria,Library,Dorms,Math_Building"
U0001_8,"Dorms,Cafeteria,Library,Gym,Cafeteria,Student_Center,Library,Dorms"
U0001_9,"Student_Center,Library,Gym,Dorms,Math_Building,Student_Center,Dorms"
U0002_1,"Dorms,Library,Gym,Dorms,Cafeteria,CS_Building,Library"
U0002_10,"Dorms,Math_Building,Library"
U0002_11,"Student_Center,Gym,Cafeteria,Student_Center,Library,Dorms"
U0002_12,"Dorms,Cafeteria,Student_Center,Gym,Dorms,Math_Building,Dorms,Cafeteria,Math_Building,Cafeteria,Math_Building,Cafeteria,Math_Building,Dorms"
U0002_13,"Dorms,Cafeteria,Student_Center"
U0002_14,"Cafeteria,Math_Building,Cafeteria,CS_Building,Library"
